accel,brake,gear,steer,clutch,focus,meta
0.1,,0,-0.21305941573571616,,-1.0,
0.1,,0,-0.21307751229313035,,-1.0,
0.1,,0,-0.21305857285096216,,-1.0,
0.1,,0,-0.21303778339135063,,-1.0,
0.1,,0,-0.2130150840720246,,-1.0,
0.1,,0,-0.2129923847526986,,-1.0,
0.1,,0,-0.21296971344464843,,-1.0,
0.1,,0,-0.21294579945454406,,-1.0,
0.1,,0,-0.2129225233575843,,-1.0,
0.1,,0,-0.21289860936747992,,-1.0,
0.1,,0,-0.21287408804198635,,-1.0,
0.1,,0,-0.2128508106717868,,-1.0,
0.1,,0,-0.21282628934629322,,-1.0,
0.1,,0,-0.21276109055536174,,-1.0,
0.1,,0,-0.21281306802411007,,-1.0,
0.1,,0,-0.21271204917761438,,-1.0,
0.1,,0,-0.21276405465763853,,-1.0,
0.1,,0,-0.21266303581114288,,-1.0,
0.1,,0,-0.21271564989979602,,-1.0,
0.1,,0,-0.21261463105330036,,-1.0,
0.1,,0,-0.21266599991341967,,-1.0,
0.1,,0,-0.21256501035143968,,-1.0,
0.1,,0,-0.212616987820188,,-1.0,
0.1,,0,-0.21251536163830312,,-1.0,
0.1,,0,-0.21256797572695624,,-1.0,
0.1,,0,-0.2124669556072208,,-1.0,
0.1,,0,-0.21251832574057994,,-1.0,
0.1,,0,-0.21241794351398904,,-1.0,
0.1,,0,-0.21246931364734822,,-1.0,
0.1,,0,-0.21236893142075733,,-1.0,
0.1,,0,-0.21242030028087666,,-1.0,
0.1,,0,-0.21231928143438103,,-1.0,
0.1,,0,-0.212371288187645,,-1.0,
0.1,,0,-0.21227026934114931,,-1.0,
0.1,,0,-0.21232224553665782,,-1.0,
0.1,,0,-0.21222186331006698,,-1.0,
0.1,,0,-0.2122732334434261,,-1.0,
0.1,,0,-0.21217285083486334,,-1.0,
0.1,,0,-0.212183513708973,,-1.0,
0.1,,0,-0.21215962925803222,,53.7038,
0.1,,0,-0.21213510818718662,,-1.0,
0.1,,0,-0.212110587116341,,-1.0,
0.1,,0,-0.21208609558465896,,-1.0,
0.1,,0,-0.21206157451381336,,-1.0,
0.1,,0,-0.21203705345570015,,-1.0,
0.1,,0,-0.21201316901749176,,-1.0,
0.1,,0,-0.21198804084044012,,-1.0,
0.1,,0,-0.21196415638949936,,-1.0,
0.1,,0,-0.21193963531865373,,-1.0,
0.1,,0,-0.2119157214558733,,-1.0,
0.1,,0,-0.21189122979686734,,-1.0,
0.1,,0,-0.21186731593408692,,-1.0,
0.1,,0,-0.211842188291796,,-1.0,
0.1,,0,-0.2118176376817868,,-1.0,
0.1,,0,-0.21179184311648364,,-1.0,
0.1,,0,-0.2117666851710852,,-1.0,
0.1,,0,-0.21174089060578205,,-1.0,
0.1,,0,-0.21171573266038365,,-1.0,
0.1,,0,-0.21169054670370943,,-1.0,
0.1,,0,-0.21166538875831106,,-1.0,
0.1,,0,-0.21163959419300785,,-1.0,
0.1,,0,-0.21161504358299868,,-1.0,
0.1,,0,-0.2115892490176955,,-1.0,
0.1,,0,-0.21156345445239225,,-1.0,
0.1,,0,-0.21153890384238308,,-1.0,
0.1,,0,-0.2115131105503197,,-1.0,
0.1,,0,-0.21148604274520685,,-1.0,
0.1,,0,-0.21146021889538805,,-1.0,
0.1,,0,-0.21143315109027525,,-1.0,
0.1,,0,-0.2114067199050672,,-1.0,
0.1,,0,-0.21137965337319423,,-1.0,
0.1,,0,-0.21135382952337542,,-1.0,
0.1,,0,-0.21132800567355656,,-1.0,
0.1,,0,-0.21130093786844378,,-1.0,
0.1,,0,-0.21127511401862495,,-1.0,
0.1,,0,-0.21124865354890132,,-1.0,
0.1,,0,-0.21122222236369328,,-1.0,
0.1,,0,-0.2111957618939697,,-1.0,
0.1,,0,-0.21116933070876165,,-1.0,
0.1,,0,-0.21114287023903802,,-1.0,
0.1,,0,-0.21111644032706983,,-1.0,
0.1,,0,-0.211090616477251,,-1.0,
0.1,,0,-0.2110641560075274,,-1.0,
0.1,,0,-0.2110383321577086,,-1.0,
0.1,,0,-0.21101126435259573,,-1.0,
0.1,,0,-0.21098544050277693,,-1.0,
0.1,,0,-0.21095898003305333,,-1.0,
0.1,,0,-0.2109331561832345,,-1.0,
0.1,,0,-0.2108659889635573,,-1.0,
0.1,,0,-0.21087534854939788,,53.6224,
0.1,,0,-0.21088468012396264,,-1.0,
0.1,,0,-0.21081751163104565,,-1.0,
0.1,,0,-0.2107509810312733,,-1.0,
0.1,,0,-0.21076031260583802,,-1.0,
0.1,,0,-0.2107696721916786,,-1.0,
0.1,,0,-0.21070311230739067,,-1.0,
0.1,,0,-0.21063658043437847,,-1.0,
0.1,,0,-0.21064591200894325,,-1.0,
0.1,,0,-0.21065524231026816,,-1.0,
0.1,,0,-0.21058871171049584,,-1.0,
0.1,,0,-0.21052215055296808,,-1.0,
0.1,,0,-0.2105321187474376,,-1.0,
0.1,,0,-0.2105414490487625,,-1.0,
0.1,,0,-0.21047428182908537,,-1.0,
0.1,,0,-0.21040775122931302,,-1.0,
0.1,,0,-0.21041708153063796,,-1.0,
0.1,,0,-0.2104270484518677,,-1.0,
0.1,,0,-0.21036048856757972,,-1.0,
0.1,,0,-0.21029395287484814,,-1.0,
0.1,,0,-0.2103032882691323,,-1.0,
0.1,,0,-0.21031261857045727,,-1.0,
0.1,,0,-0.21024669021311485,,-1.0,
0.1,,0,-0.21017952681315713,,-1.0,
0.1,,0,-0.21018949628086653,,-1.0,
0.1,,0,-0.21019882912867108,,-1.0,
0.1,,0,-0.21013226415142386,,-1.0,
0.1,,0,-0.21006633579408146,,-1.0,
0.1,,0,-0.210075668641886,,-1.0,
0.1,,0,-0.21008563810959538,,-1.0,
